int(self),number_of_steps,evaporation_factor,total_delivered,(total_delivered = 0) ? 0 : (time_to_deliver_SUM / total_delivered)
0,41.0,0.001,295,96.43389830508474
1,41.0,0.002,194,172.0257731958763
2,41.0,0.003,434,88.92626728110599
3,41.0,0.004,616,56.128246753246756
4,41.0,0.005,270,131.92222222222222
5,41.0,0.006,346,111.6300578034682
6,41.0,0.007,225,157.94222222222223
7,41.0,0.008,302,118.7748344370861
8,41.0,0.009,163,210.079754601227
9,42.0,0.001,348,110.31896551724138
10,42.0,0.002,541,62.711645101663585
11,42.0,0.003,379,99.48812664907652
12,42.0,0.004,568,67.84330985915493
13,42.0,0.005,812,42.76231527093596
14,42.0,0.006,314,116.20700636942675
15,42.0,0.007,236,159.09745762711864
16,42.0,0.008,326,109.8957055214724
17,42.0,0.009,133,242.5639097744361
18,43.0,0.001,237,136.06751054852322
19,43.0,0.002,271,129.63468634686348
20,43.0,0.003,416,87.22836538461539
21,43.0,0.004,548,68.59306569343066
22,43.0,0.005,526,62.49239543726236
23,43.0,0.006,164,221.33536585365854
24,43.0,0.007,210,161.8190476190476
25,43.0,0.008,368,97.3804347826087
26,43.0,0.009,246,137.8130081300813
27,44.0,0.001,341,84.633431085044
28,44.0,0.002,335,100.71641791044776
29,44.0,0.003,574,68.4808362369338
30,44.0,0.004,539,70.54730983302412
31,44.0,0.005,381,100.06036745406824
32,44.0,0.006,167,207.14970059880238
33,44.0,0.007,257,140.33073929961088
34,44.0,0.008,389,96.98457583547558
35,44.0,0.009,157,210.45222929936307
36,45.0,0.001,285,101.03508771929825
37,45.0,0.002,403,89.09925558312655
38,45.0,0.003,771,49.42801556420233
39,45.0,0.004,497,78.53923541247485
40,45.0,0.005,373,102.22788203753352
41,45.0,0.006,357,98.75350140056022
42,45.0,0.007,365,88.48219178082192
43,45.0,0.008,122,284.3360655737705
44,45.0,0.009,181,201.67955801104972
45,46.0,0.001,311,95.32154340836013
46,46.0,0.002,224,161.66071428571428
47,46.0,0.003,410,84.53170731707317
48,46.0,0.004,311,115.13826366559485
49,46.0,0.005,371,99.33692722371967
50,46.0,0.006,328,119.85670731707317
51,46.0,0.007,276,128.1159420289855
52,46.0,0.008,189,173.60846560846562
53,46.0,0.009,327,115.90519877675841
54,47.0,0.001,281,106.41281138790036
55,47.0,0.002,560,58.70178571428571
56,47.0,0.003,757,49.075297225891674
57,47.0,0.004,418,90.9688995215311
58,47.0,0.005,556,68.86510791366906
59,47.0,0.006,513,75.36647173489278
60,47.0,0.007,139,262.7769784172662
61,47.0,0.008,223,166.52914798206277
62,47.0,0.009,110,305.3
63,48.0,0.001,716,54.17458100558659
64,48.0,0.002,125,230.544
65,48.0,0.003,698,54.76504297994269
66,48.0,0.004,859,44.373690337601865
67,48.0,0.005,334,113.47305389221557
68,48.0,0.006,277,130.73285198555956
69,48.0,0.007,633,52.13112164296999
70,48.0,0.008,142,218.26760563380282
71,48.0,0.009,204,175.64705882352942
72,49.0,0.001,301,98.13621262458472
73,49.0,0.002,643,58.89891135303266
74,49.0,0.003,570,60.36140350877193
75,49.0,0.004,428,90.14018691588785
76,49.0,0.005,264,147.32954545454547
77,49.0,0.006,334,116.24251497005989
78,49.0,0.007,184,193.91304347826087
79,49.0,0.008,502,77.97211155378486
80,49.0,0.009,224,162.25
81,50.0,0.001,1094,33.5109689213894
82,50.0,0.002,189,178.62962962962962
83,50.0,0.003,889,42.42294713160855
84,50.0,0.004,301,101.84053156146179
85,50.0,0.005,416,87.69951923076923
86,50.0,0.006,219,166.7716894977169
87,50.0,0.007,838,46.085918854415276
88,50.0,0.008,352,100.76988636363636
89,50.0,0.009,331,118.51057401812689
90,51.0,0.001,161,188.92546583850933
91,51.0,0.002,276,139.7246376811594
92,51.0,0.003,210,171.8095238095238
93,51.0,0.004,456,80.83552631578948
94,51.0,0.005,300,126.31666666666666
95,51.0,0.006,393,100.20356234096693
96,51.0,0.007,157,226.64968152866243
97,51.0,0.008,411,85.22871046228711
98,51.0,0.009,316,114.36392405063292
99,52.0,0.001,176,150.08522727272728
100,52.0,0.002,232,151.02155172413794
101,52.0,0.003,718,43.74791086350975
102,52.0,0.004,410,90.68048780487806
103,52.0,0.005,337,103.90504451038575
104,52.0,0.006,520,74.32115384615385
105,52.0,0.007,198,189.66161616161617
106,52.0,0.008,182,188.4010989010989
107,52.0,0.009,178,187.52808988764045
108,53.0,0.001,175,177.24
109,53.0,0.002,245,152.13061224489795
110,53.0,0.003,722,45.16343490304709
111,53.0,0.004,463,79.90928725701944
112,53.0,0.005,642,58.82866043613707
113,53.0,0.006,188,192.5212765957447
114,53.0,0.007,204,182.27450980392157
115,53.0,0.008,286,115.86013986013987
116,53.0,0.009,202,174.05940594059405
117,54.0,0.001,512,77.08984375
118,54.0,0.002,229,159.12663755458516
119,54.0,0.003,665,56.75488721804511
120,54.0,0.004,370,98.42162162162163
121,54.0,0.005,869,44.27272727272727
122,54.0,0.006,413,95.91041162227603
123,54.0,0.007,403,87.9801488833747
124,54.0,0.008,394,90.68020304568527
125,54.0,0.009,301,116.0797342192691
126,55.0,0.001,202,141.26732673267327
127,55.0,0.002,198,173.93434343434345
128,55.0,0.003,885,42.66101694915254
129,55.0,0.004,566,56.9452296819788
130,55.0,0.005,290,131.43103448275863
131,55.0,0.006,332,112.95481927710843
132,55.0,0.007,345,103.98550724637681
133,55.0,0.008,412,95.87135922330097
134,55.0,0.009,157,224.86624203821657
135,56.0,0.001,364,106.73076923076923
136,56.0,0.002,496,79.08870967741936
137,56.0,0.003,191,191.63350785340313
138,56.0,0.004,354,99.0225988700565
139,56.0,0.005,487,78.00410677618069
140,56.0,0.006,397,89.90428211586902
141,56.0,0.007,211,186.3127962085308
142,56.0,0.008,664,52.9066265060241
143,56.0,0.009,183,185.04918032786884
144,57.0,0.001,212,148.1509433962264
145,57.0,0.002,266,134.77443609022558
146,57.0,0.003,495,74.22626262626262
147,57.0,0.004,281,108.74377224199289
148,57.0,0.005,328,107.23780487804878
149,57.0,0.006,467,83.32976445396146
150,57.0,0.007,232,166.14655172413794
151,57.0,0.008,261,142.5095785440613
152,57.0,0.009,680,52.09264705882353
153,58.0,0.001,569,68.91739894551846
154,58.0,0.002,546,70.96703296703296
155,58.0,0.003,706,43.78186968838527
156,58.0,0.004,410,86.79024390243903
157,58.0,0.005,251,143.91235059760956
158,58.0,0.006,647,52.91190108191654
159,58.0,0.007,198,169.77272727272728
160,58.0,0.008,424,93.36320754716981
161,58.0,0.009,190,189.89473684210526
162,59.0,0.001,592,65.74155405405405
163,59.0,0.002,428,75.75934579439253
164,59.0,0.003,347,110.36599423631124
165,59.0,0.004,810,43.22345679012346
166,59.0,0.005,556,69.32553956834532
167,59.0,0.006,452,76.62610619469027
168,59.0,0.007,181,211.27624309392266
169,59.0,0.008,293,131.5529010238908
170,59.0,0.009,339,111.41002949852508
171,60.0,0.001,220,141.08636363636364
172,60.0,0.002,260,142.4346153846154
173,60.0,0.003,695,55.402877697841724
174,60.0,0.004,1483,24.53202966958867
175,60.0,0.005,286,136.94405594405595
176,60.0,0.006,386,90.0440414507772
177,60.0,0.007,222,157.27927927927928
178,60.0,0.008,395,99.80506329113923
179,60.0,0.009,721,53.10679611650485
180,61.0,0.001,351,84.15099715099716
181,61.0,0.002,298,106.09060402684564
182,61.0,0.003,738,53.018970189701896
183,61.0,0.004,471,81.76857749469214
184,61.0,0.005,361,109.21883656509695
185,61.0,0.006,265,132.35849056603774
186,61.0,0.007,1075,35.455813953488374
187,61.0,0.008,219,174.5159817351598
188,61.0,0.009,284,116.77112676056338
