int(self),number_of_steps,evaporation_factor,total_delivered,(total_delivered = 0) ? 0 : (time_to_deliver_SUM / total_delivered)
158,37.0,0.006,430,76.57441860465116
159,37.0,0.007,277,121.34657039711192
160,37.0,0.008,122,269.22131147540983
161,37.0,0.009,162,202.73456790123456
162,38.0,0.001,726,37.94214876033058
163,38.0,0.002,632,56.99683544303797
164,38.0,0.003,878,42.043280182232344
165,38.0,0.004,305,119.20655737704918
166,38.0,0.005,216,168.25
167,38.0,0.006,426,83.7394366197183
168,38.0,0.007,247,135.67611336032388
169,38.0,0.008,255,149.28627450980392
170,38.0,0.009,126,285.86507936507934
171,39.0,0.001,379,73.1952506596306
172,39.0,0.002,390,94.4025641025641
173,39.0,0.003,909,40.767876787678766
174,39.0,0.004,497,70.69617706237425
175,39.0,0.005,229,159.77292576419214
176,39.0,0.006,444,83.20270270270271
177,39.0,0.007,234,162.0
178,39.0,0.008,381,98.8241469816273
179,39.0,0.009,367,100.53133514986376
180,40.0,0.001,418,69.94497607655502
181,40.0,0.002,841,45.37931034482759
182,40.0,0.003,858,41.64102564102564
183,40.0,0.004,563,65.75310834813499
184,40.0,0.005,404,76.66584158415841
185,40.0,0.006,571,64.32049036777583
186,40.0,0.007,406,92.04926108374384
187,40.0,0.008,189,179.37037037037038
188,40.0,0.009,124,261.9032258064516
