int(self),number_of_steps,evaporation_factor,total_delivered,(total_delivered = 0) ? 0 : (time_to_deliver_SUM / total_delivered)
0,20.0,0.001,333,115.12912912912913
1,20.0,0.002,326,111.64110429447852
2,20.0,0.003,211,180.19431279620852
3,20.0,0.004,222,159.24774774774775
4,20.0,0.005,128,263.28125
5,20.0,0.006,104,315.5769230769231
6,20.0,0.007,114,315.56140350877195
7,20.0,0.008,155,230.15483870967742
8,20.0,0.009,104,314.13461538461536
9,21.0,0.001,302,94.77152317880795
10,21.0,0.002,237,141.86919831223628
11,21.0,0.003,417,92.9400479616307
12,21.0,0.004,117,270.9059829059829
13,21.0,0.005,101,307.9306930693069
14,21.0,0.006,184,198.77173913043478
15,21.0,0.007,165,200.8969696969697
16,21.0,0.008,89,333.7977528089888
17,21.0,0.009,167,215.92814371257484
18,22.0,0.001,200,152.205
19,22.0,0.002,161,201.43478260869566
20,22.0,0.003,550,62.092727272727274
21,22.0,0.004,157,211.36305732484075
22,22.0,0.005,202,186.9009900990099
23,22.0,0.006,285,118.85964912280701
24,22.0,0.007,125,257.496
25,22.0,0.008,90,304.55555555555554
26,22.0,0.009,118,255.54237288135593
27,23.0,0.001,249,131.58232931726909
28,23.0,0.002,789,48.3574144486692
29,23.0,0.003,299,113.64548494983278
30,23.0,0.004,244,150.45491803278688
31,23.0,0.005,156,217.96794871794873
32,23.0,0.006,258,148.015503875969
33,23.0,0.007,202,187.7970297029703
34,23.0,0.008,134,249.98507462686567
35,23.0,0.009,173,179.0057803468208
36,24.0,0.001,237,139.18565400843883
37,24.0,0.002,220,142.93636363636364
38,24.0,0.003,202,169.3118811881188
39,24.0,0.004,462,82.98268398268398
40,24.0,0.005,141,248.75177304964538
41,24.0,0.006,205,161.6780487804878
42,24.0,0.007,303,103.33003300330033
43,24.0,0.008,160,224.975
44,24.0,0.009,150,211.01333333333332
45,25.0,0.001,137,186.06569343065692
46,25.0,0.002,264,115.70075757575758
47,25.0,0.003,606,62.35973597359736
48,25.0,0.004,280,116.36071428571428
49,25.0,0.005,191,184.8324607329843
50,25.0,0.006,471,79.49256900212315
51,25.0,0.007,260,147.65
52,25.0,0.008,133,255.69924812030075
53,25.0,0.009,135,253.9111111111111
54,26.0,0.001,490,68.26938775510204
55,26.0,0.002,505,77.38019801980198
56,26.0,0.003,232,146.38793103448276
57,26.0,0.004,179,202.25698324022346
58,26.0,0.005,141,239.14893617021278
59,26.0,0.006,152,203.30921052631578
60,26.0,0.007,217,164.27649769585253
61,26.0,0.008,187,202.59893048128342
62,26.0,0.009,121,242.9917355371901
63,27.0,0.001,289,104.5363321799308
64,27.0,0.002,546,60.18315018315018
65,27.0,0.003,935,33.96577540106952
66,27.0,0.004,228,164.65350877192984
67,27.0,0.005,167,198.50299401197606
68,27.0,0.006,507,75.29783037475345
69,27.0,0.007,236,142.24576271186442
70,27.0,0.008,141,241.1418439716312
71,27.0,0.009,107,331.5327102803738
72,28.0,0.001,221,132.86877828054298
73,28.0,0.002,619,62.460420032310175
74,28.0,0.003,283,134.26855123674912
75,28.0,0.004,362,108.02209944751381
76,28.0,0.005,319,106.81191222570533
77,28.0,0.006,135,259.9111111111111
78,28.0,0.007,168,190.02380952380952
79,28.0,0.008,203,172.55665024630542
80,28.0,0.009,194,181.43298969072166
81,29.0,0.001,403,69.6377171215881
82,29.0,0.002,210,147.3190476190476
83,29.0,0.003,305,114.64590163934426
84,29.0,0.004,412,89.47087378640776
85,29.0,0.005,229,153.7292576419214
86,29.0,0.006,292,124.36986301369863
87,29.0,0.007,152,235.7565789473684
88,29.0,0.008,99,323.52525252525254
89,29.0,0.009,155,235.47096774193548
90,30.0,0.001,441,88.05215419501134
91,30.0,0.002,327,104.36697247706422
92,30.0,0.003,705,54.89219858156029
93,30.0,0.004,358,97.02234636871508
94,30.0,0.005,160,215.93125
95,30.0,0.006,187,180.59893048128342
96,30.0,0.007,175,205.87428571428572
97,30.0,0.008,153,232.54901960784315
98,30.0,0.009,295,110.62711864406779
99,31.0,0.001,247,101.11336032388664
100,31.0,0.002,829,39.26417370325694
101,31.0,0.003,428,89.39719626168224
102,31.0,0.004,248,135.16532258064515
103,31.0,0.005,435,75.6367816091954
104,31.0,0.006,184,187.8695652173913
105,31.0,0.007,156,206.23717948717947
106,31.0,0.008,209,163.05263157894737
107,31.0,0.009,124,285.4516129032258
108,32.0,0.001,811,45.60912453760789
109,32.0,0.002,200,172.425
110,32.0,0.003,177,202.11864406779662
111,32.0,0.004,259,143.08494208494207
112,32.0,0.005,198,182.12121212121212
113,32.0,0.006,318,118.75471698113208
114,32.0,0.007,217,168.44239631336404
115,32.0,0.008,310,110.38064516129032
116,32.0,0.009,147,230.23809523809524
117,33.0,0.001,360,81.43333333333334
118,33.0,0.002,407,90.54791154791155
119,33.0,0.003,368,94.16576086956522
120,33.0,0.004,199,167.85929648241205
121,33.0,0.005,433,78.93071593533487
122,33.0,0.006,166,201.789156626506
123,33.0,0.007,158,225.8227848101266
124,33.0,0.008,103,329.3398058252427
125,33.0,0.009,193,172.10880829015545
126,34.0,0.001,516,53.651162790697676
127,34.0,0.002,298,104.67114093959732
128,34.0,0.003,318,112.71069182389937
129,34.0,0.004,499,75.08016032064128
130,34.0,0.005,200,171.555
131,34.0,0.006,301,119.34883720930233
132,34.0,0.007,271,121.97416974169742
133,34.0,0.008,156,228.87820512820514
134,34.0,0.009,86,369.0581395348837
135,35.0,0.001,795,33.563522012578616
136,35.0,0.002,399,82.27318295739349
137,35.0,0.003,655,57.566412213740456
138,35.0,0.004,365,102.03013698630137
139,35.0,0.005,424,88.51886792452831
140,35.0,0.006,273,137.32234432234432
141,35.0,0.007,97,347.7938144329897
142,35.0,0.008,223,166.2645739910314
143,35.0,0.009,165,198.43636363636364
144,36.0,0.001,280,104.74285714285715
145,36.0,0.002,252,126.2579365079365
146,36.0,0.003,400,88.6825
147,36.0,0.004,599,63.83973288814691
148,36.0,0.005,384,92.78385416666667
149,36.0,0.006,383,90.21148825065274
150,36.0,0.007,300,120.66666666666667
151,36.0,0.008,250,139.572
152,36.0,0.009,116,271.33620689655174
153,37.0,0.001,342,80.69005847953217
154,37.0,0.002,352,79.47443181818181
155,37.0,0.003,793,47.587641866330394
156,37.0,0.004,320,116.465625
157,37.0,0.005,882,37.987528344671205
